Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Gross Domestic Product (gdp) At Market Prices,2024,2025.0,,85,"IMF DATA
SIGN IN
Help
ACCESS TO ECONOMIC AND FINANCIAL DATA
Popular search requests:
Latest Updates
Aug
DATA BRIEF
IMF Data Brief: Quarterly Gross Domestic Product
World GDP Growth Slowed in 2025Q1 While Economy-wide Prices Increased
Jul
NEWS
ISORA 2024 Data","2,025",data.imf.org,Regex,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,data.imf.org_.txt,Indicator: Gross Domestic Product (gdp) At Market Prices | Year: 2024 | Value: 2025.0 | Source: data.imf.org,
Current Account Balance,2025,1155.0,,85,Compte courant du Trésor au  14/08/2025  : | Avoirs nets en devises au 15/08/2025 | 1155,"1,155",bct.gov.tn,Regex,Current Account Balance,Trade,Current Account Balance,Current Account Balance,www.bct.gov.tn_.txt,Indicator: Current Account Balance | Year: 2025 | Value: 1155.0 | Source: bct.gov.tn,
Population,2025,5.0,,70,"POPULATION | Juillet 2025 | 5,3%",5,ins.tn,Regex,Population,Demographics,Population,Population,www.ins.tn_.txt,Indicator: Population | Year: 2025 | Value: 5.0 | Source: ins.tn,
Trade Balance (% Of Gdp),2025,3.0,,70,"BALANCE COMMERCIALE | Juillet 2025 | 3,2%",3,ins.tn,Regex,Trade Balance (% Of Gdp),National Accounts,Trade Balance (% Of Gdp),Trade Balance (% Of Gdp),www.ins.tn_.txt,Indicator: Trade Balance (% Of Gdp) | Year: 2025 | Value: 3.0 | Source: ins.tn,
Inflation,2025,15.0,,85,"INFLATION | T2 2025 | 15,3%",15,ins.tn,Regex,Inflation,Prices,Inflation,Inflation,www.ins.tn_.txt,Indicator: Inflation | Year: 2025 | Value: 15.0 | Source: ins.tn,
Unemployment Rate,2025,1620305724.0,,85,CHÔMAGE | T2 2025 | 1620305724,1.62 B None,ins.tn,Regex,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,www.ins.tn_.txt,Indicator: Unemployment Rate | Year: 2025 | Value: 1620305724.0 | Source: ins.tn,
Population,2024,1.0,,70,"Publication des résultats du Recensement Général de la Population et de l’Habitat 2024. | Première réunion du Comité National du Recensement 2024, annonçant officiellement le lancement des travaux de terrain de cette opération nationale importante. | Hôte l'acropole lac1 Tunis",1,ins.tn,Regex,Population,Demographics,Population,Population,www.ins.tn_.txt,Indicator: Population | Year: 2024 | Value: 1.0 | Source: ins.tn,
Population,2024,169.0,,85,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",169,ins.tn,Regex,Population,Demographics,Population,Population,www.ins.tn_.txt,Indicator: Population | Year: 2024 | Value: 169.0 | Source: ins.tn,
Unemployment Rate,2024,3.0,%,100,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",3.0 %,ins.tn,Regex,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,www.ins.tn_.txt,Indicator: Unemployment Rate | Year: 2024 | Value: 3.0 % | Source: ins.tn,
Inflation,2024,5.0,,70,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",5,ins.tn,Regex,Inflation,Prices,Inflation,Inflation,www.ins.tn_.txt,Indicator: Inflation | Year: 2024 | Value: 5.0 | Source: ins.tn,
Current Account Balance (% Of Gdp),1999,140.0,,85,"For most countries, fiscal data follow the IMF’s Government Finance Statistics Manual 2014. The overall fiscal balance refers to net lending (+)/borrowing (–) of the general government. In some cases, however, the overall balance refers to total revenue and grants minus total expenditure and net lending. | The Currency Composition of Official Foreign Exchange Reserves (COFER) dataset includes official foreign exchange reserves by currency.  The currencies identified in the COFER dataset are: U.S. dollar, Pound sterling, Japanese yen, Swiss francs, Canadian dollar, Australian dollar, Chinese renminbi, and Euro.  All other currencies are included in the category of “other currencies.”  Prior to the introduction of the Euro in 1999, several European currencies were separately identified in COFER: European Currency Unit, Deutsche mark, French franc, and the Netherlands guilder. | COFER data are reported to the IMF on a voluntary and confidential basis by central banks from over 140 economies. COFER data for individual countries are strictly confidential. At present there are 149 reporters, consisting of the monetary authorities of IMF member countries and non-IMF member countries/economies; and of other foreign exchange reserves holding entities. COFER includes a list of the participating economies that agreed to disclose their names. SDDS Plus adherents are required to participate in the COFER database and to disclose their participation. The data published on this website are aggregates for each currency for the world, advanced economies, and emerging markets and developing economies. Starting 2015Q2, the IMF decided to cease the publication of the latter two geographical breakdowns to avoid possible residual disclosure of individual data with the release of the list of countries who have agreed to publish their names as COFER reporters.   Estimates of Official Foreign Exchange Reserves are critical for the smooth functioning of national and international financial systems.",140,data.imf.org,Regex,Current Account Balance (% Of Gdp),National Accounts,Current Account Balance (% Of Gdp),Current Account Balance (% Of Gdp),data.imf.org_.txt,Indicator: Current Account Balance (% Of Gdp) | Year: 1999 | Value: 140.0 | Source: data.imf.org,
Official Foreign Exchange Reserves (current Usd),1999,6.0,,70,"Currency Composition of Official Foreign Exchange Reserves (COFER) | The Currency Composition of Official Foreign Exchange Reserves (COFER) dataset includes official foreign exchange reserves by currency.  The currencies identified in the COFER dataset are: U.S. dollar, Pound sterling, Japanese yen, Swiss francs, Canadian dollar, Australian dollar, Chinese renminbi, and Euro.  All other currencies are included in the category of “other currencies.”  Prior to the introduction of the Euro in 1999, several European currencies were separately identified in COFER: European Currency Unit, Deutsche mark, French franc, and the Netherlands guilder. | Foreign Exchange Reserves (FXR) data reported to COFER are consistent with the ""other reserve assets"" classification of reserve assets as outlined in the sixth edition of the IMF's Balance of Payments and International Investment Position Manual (BPM6). They are reserve assets other than monetary gold, SDRs, and reserve position in the IMF; and consist of the monetary authorities' claims on nonresidents in the form of: Currency and deposits, Securities, Financial derivatives, and Other claims.",6,data.imf.org,Regex,Official Foreign Exchange Reserves (current Usd),Other,Official Foreign Exchange Reserves (current Usd),Official Foreign Exchange Reserves (current Usd),data.imf.org_.txt,Indicator: Official Foreign Exchange Reserves (current Usd) | Year: 1999 | Value: 6.0 | Source: data.imf.org,
Unemployment Rate,2024,2025.0,,85,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.","2,025",ins.tn,Regex,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,www.ins.tn_.txt,Indicator: Unemployment Rate | Year: 2024 | Value: 2025.0 | Source: ins.tn,
Gdp Growth (annual %),2024,2.0,%,100,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",2.0 %,ins.tn,Regex,Gdp Growth (annual %),National Accounts,Gdp Growth (annual %),Gdp Growth (annual %),www.ins.tn_.txt,Indicator: Gdp Growth (annual %) | Year: 2024 | Value: 2.0 % | Source: ins.tn,
Trade Balance (% Of Gdp),2024,15.7,%,100,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",15.7 %,ins.tn,Regex,Trade Balance (% Of Gdp),National Accounts,Trade Balance (% Of Gdp),Trade Balance (% Of Gdp),www.ins.tn_.txt,Indicator: Trade Balance (% Of Gdp) | Year: 2024 | Value: 15.7 % | Source: ins.tn,
"Agriculture, Value Added (% Of Gdp)",2024,2023.0,,85,"World GDP Growth Slowed in 2025Q1 While Economy-wide Prices Increased | ISORA 2024 Data Now Available | FY2023 data from 164 tax administrations now available, with insights on revenue, operations, services, and compliance strategies for tax systems globally.","2,023",data.imf.org,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",data.imf.org_.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2024 | Value: 2023.0 | Source: data.imf.org",
"Agriculture, Value Added (% Of Gdp)",2024,1.0,,70,"IMF DATA
SIGN IN
Help
ACCESS TO ECONOMIC AND FINANCIAL DATA
Popular search requests:
Latest Updates
Aug
DATA BRIEF
IMF Data Brief: Quarterly Gross Domestic Product
World GDP Growth Slowed in 2025Q1 While Economy-wide Prices Increased
Jul
NEWS
ISORA 2024 Data",1,data.imf.org,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",data.imf.org_.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2024 | Value: 1.0 | Source: data.imf.org",
Inflation,2024,3.0,%,100,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",3.0 %,ins.tn,Regex,Inflation,Prices,Inflation,Inflation,www.ins.tn_.txt,Indicator: Inflation | Year: 2024 | Value: 3.0 % | Source: ins.tn,
Unemployment Rate,2024,2.0,%,100,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",2.0 %,ins.tn,Regex,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,www.ins.tn_.txt,Indicator: Unemployment Rate | Year: 2024 | Value: 2.0 % | Source: ins.tn,
Unemployment Rate,2024,15.7,%,100,"S'abonner à
11 972 169
POPULATION
2024
-2004,0 MD
BALANCE COMMERCIALE
Juillet 2025
5,3%
INFLATION
Juillet 2025
3,2%
CROISSANCE
T2 2025
15,3%
CHÔMAGE
T2 2025
Indicateurs clés
1620305724
line
chart
TAUX D'INFLATION
1684150984
line
chart
TAUX DE CROISSANCE ÉCONOMIQUE
Institut National de la statistique
1611322839
chart
TAUX DE CHÔMAGE
1616749209
column
chart
POPULATION AU 1ER JANVIER
1637313917
column
chart
GLISSEMENT ANNUEL DES INDICES DES PRIX DE L'IMMOBILIER
1675780959
line
chart
BALANCE COMMERCIALE
OFFRES D'EMPLOI
Rejoignez notre équipe INS
Communiqués de presse
15-08-2025
|
Emploi
Indicateurs de l’emploi et du chômage, deuxième trimestre 2025
Le taux de chômage diminue pour atteindre 15,3%, contre 15.7% au premier trimestre 2025.",15.7 %,ins.tn,Regex,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,www.ins.tn_.txt,Indicator: Unemployment Rate | Year: 2024 | Value: 15.7 % | Source: ins.tn,
Merchandise Exports (current Usd),2010,7.0,,70,"80 120 160 200 240 à l'import à l'export 80 170 260 350 440 à l'import à l'export 
Exportations
Importations
Solde
Taux de
Couverture | 7 mois
2010 | 7 mois
2011 | 7 mois
2012 | 2011/2010 | 2012/2011 | 2011/2010 |  | 2012/2011 | 2011/2010 | 2012/2011",7,https,Regex,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),https___ins.tn_sites_default_files_publication_pdf_commuique_comex_2012_07_volum_0145b2a987.pdf,Indicator: Merchandise Exports (current Usd) | Year: 2010 | Value: 7.0 | Source: https,https://ins.tn/sites/default/files/publication/pdf/commuique_comex_2012_07_volume_fr.pdf
Merchandise Exports (current Usd),2010,2011.0,,85,"Valeur en MD  Variations en %  Variation de l'indice  de Valeur Unitaire  Variation du  Volume     8 mois  2010  8 mois  2011  8 mois  2012  2011/2010 2012/2011 2011/2010 2012/2011 2011/2010 2012/2011 Exportations 15423,4 16862,9 17407,4 9,3%  3,2%  5,9%  5,8%  3,2%  -2,5%  Importations 20945,4 21787,8 24832,4 4,0%  14,0%  9,0%","2,011",https,Regex,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),https___ins.tn_sites_default_files_publication_pdf_commuique_comex_2012_08_volum_1bf30add40.pdf,Indicator: Merchandise Exports (current Usd) | Year: 2010 | Value: 2011.0 | Source: https,https://ins.tn/sites/default/files/publication/pdf/commuique_comex_2012_08_volume_fr.pdf
Merchandise Imports (current Usd),2010,4.0,,70,"Valeur en MD  Variations en %  Variation de l'indice  de Valeur Unitaire  Variation du  Volume     8 mois  2010  8 mois  2011  8 mois  2012  2011/2010 2012/2011 2011/2010 2012/2011 2011/2010 2012/2011 Exportations 15423,4 16862,9 17407,4 9,3%  3,2%  5,9%  5,8%  3,2%  -2,5%  Importations 20945,4 21787,8 24832,4 4,0%  14,0%  9,0%",4,https,Regex,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),https___ins.tn_sites_default_files_publication_pdf_commuique_comex_2012_08_volum_1bf30add40.pdf,Indicator: Merchandise Imports (current Usd) | Year: 2010 | Value: 4.0 | Source: https,https://ins.tn/sites/default/files/publication/pdf/commuique_comex_2012_08_volume_fr.pdf
Merchandise Exports (current Usd),2010,8.0,,70,"80 120 160 200 240 janv-05 janv-06 janv-07 janv-08 janv-09 janv-10 janv-11 janv-12 à l'import à l'export 80 170 260 350 440 janv-05 janv-06 janv-07 janv-08 janv-09 janv-10 janv-11 janv-12 à l'import à l'export 
Exportations
Importations
Solde
Taux de
Couverture | 8 mois
2010 | 8 mois
2011 | 8 mois
2012 | 2011/2010 | 2012/2011 | 2011/2010 | 2012/2011 | 2011/2010 | 2012/2011",8,https,Regex,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),https___ins.tn_sites_default_files_publication_pdf_commuique_comex_2012_08_volum_1bf30add40.pdf,Indicator: Merchandise Exports (current Usd) | Year: 2010 | Value: 8.0 | Source: https,https://ins.tn/sites/default/files/publication/pdf/commuique_comex_2012_08_volume_fr.pdf
Merchandise Imports (current Usd),2010,10.0,,85,"80 120 160 200 240 janv-05 janv-06 janv-07 janv-08 janv-09 janv-10 janv-11 janv-12 à l'import à l'export 80 170 260 350 440 janv-05 janv-06 janv-07 janv-08 janv-09 janv-10 janv-11 janv-12 à l'import à l'export 
Exportations
Importations
Solde
Taux de
Couverture | 8 mois
2010 | 8 mois
2011 | 8 mois
2012 | 2011/2010 | 2012/2011 | 2011/2010 | 2012/2011 | 2011/2010 | 2012/2011",10,https,Regex,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),https___ins.tn_sites_default_files_publication_pdf_commuique_comex_2012_08_volum_1bf30add40.pdf,Indicator: Merchandise Imports (current Usd) | Year: 2010 | Value: 10.0 | Source: https,https://ins.tn/sites/default/files/publication/pdf/commuique_comex_2012_08_volume_fr.pdf
Population,2025,5.0,,70,"Read more National Institue of Statistics French Decennial Regular Specific Publications Households and living conditions, Population
Gross Domestic Product (GDP), first quarter 2025 15-05-2025 Press release The Tunisian economy recorded a 1.6% growth during the first quarter of the year 2025.",5,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2025 | Value: 5.0 | Source: http,
Householders (housing),2025,15.0,,85,"Read more National Institue of Statistics French Decennial Regular Specific Publications Households and living conditions, Population
Gross Domestic Product (GDP), first quarter 2025 15-05-2025 Press release The Tunisian economy recorded a 1.6% growth during the first quarter of the year 2025.",15,http,Regex,Householders (housing),Households,Householders (housing),Householders (housing),http___ins.tn_en_publication_29db784f33.txt,Indicator: Householders (housing) | Year: 2025 | Value: 15.0 | Source: http,
"Agriculture, Value Added (% Of Gdp)",2025,1.6,%,100,"Read more National Institue of Statistics French Decennial Regular Specific Publications Households and living conditions, Population
Gross Domestic Product (GDP), first quarter 2025 15-05-2025 Press release The Tunisian economy recorded a 1.6% growth during the first quarter of the year 2025.",1.6 %,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2025 | Value: 1.6 % | Source: http",
Current Account Balance,2024,2025.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Statistics Monthly Bulletin, September 2024 26-02-2025 Report This publication retraces the cyclical trends of a number of economic or social indicators.","2,025",http,Heuristic,Current Account Balance,Trade,Current Account Balance,Current Account Balance,http___ins.tn_en_publication_29db784f33.txt,Indicator: Current Account Balance | Year: 2024 | Value: 2025.0 | Source: http,
Population,2024,2.0,,70,"Read more National Institue of Statistics French Monthly General Publications Foreign Trade, Nation account, Employment, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2024 15-02-2025 Press release The Tunisian economy recorded a 1.4% growth during the year 2024.",2,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2024 | Value: 2.0 | Source: http,
"Agriculture, Value Added (% Of Gdp)",2024,15.0,,85,"Read more National Institue of Statistics Arabic, French Annual Regular Specific Publications Culture, Education, Energy, Environment, Population, Health, Communication technologies, Tourism
Gross Domestic Product (GDP), first quarter 2024 15-05-2024 Press release Real GDP increased at an annual rate of 0.2 percent in the first quarter of 2024.",15,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2024 | Value: 15.0 | Source: http",
Gross Domestic Product (gdp) At Market Prices,2024,2025.0,,85,"Read more National Institue of Statistics French Monthly General Publications Foreign Trade, Nation account, Employment, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2024 15-02-2025 Press release The Tunisian economy recorded a 1.4% growth during the year 2024.","2,025",http,Heuristic,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,http___ins.tn_en_publication_29db784f33.txt,Indicator: Gross Domestic Product (gdp) At Market Prices | Year: 2024 | Value: 2025.0 | Source: http,
(Gdp,2024,1.4,%,100,"Read more National Institue of Statistics French Monthly General Publications Foreign Trade, Nation account, Employment, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), fourth quarter 2024 15-02-2025 Press release The Tunisian economy recorded a 1.4% growth during the year 2024.",1.4 %,http,Heuristic,(Gdp,Uncategorized,(Gdp,(Gdp,http___ins.tn_en_publication_29db784f33.txt,Indicator: (Gdp | Year: 2024 | Value: 1.4 % | Source: http,
Population,2024,0.2,%,100,"Read more National Institue of Statistics Arabic, French Annual Regular Specific Publications Culture, Education, Energy, Environment, Population, Health, Communication technologies, Tourism
Gross Domestic Product (GDP), first quarter 2024 15-05-2024 Press release Real GDP increased at an annual rate of 0.2 percent in the first quarter of 2024.",0.2 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2024 | Value: 0.2 % | Source: http,
Current Account Balance,2023,2024.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Statistics Monthly Bulletin, November 2023 14-03-2024 Report","2,024",http,Heuristic,Current Account Balance,Trade,Current Account Balance,Current Account Balance,http___ins.tn_en_publication_29db784f33.txt,Indicator: Current Account Balance | Year: 2023 | Value: 2024.0 | Source: http,
Population,2023,0.2,%,100,"Read more National Institue of Statistics French Annual Agriculture, Climatology, Foreign Trade, Nation account, Education, Employment, Energy, Businesses, Industry, Money and finance, Population, Price, Wages, Health, Communication technologies, Tourism, Transport
Gross Domestic Product (GDP), third quarter 2023 15-11-2023 Press release Real GDP decreased at an annual rate of 0.2 percent in the third quarter of 2023.",0.2 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2023 | Value: 0.2 % | Source: http,
"Agriculture, Value Added (% Of Gdp)",2023,15.0,,85,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), second quarter 2023 15-08-2023 Press release Real GDP increased at an annual rate of 0.6 percent in the second quarter of 2023.",15,http,Regex,"Agriculture, Value Added (% Of Gdp)",National Accounts,"Agriculture, Value Added (% Of Gdp)","Agriculture, Value Added (% Of Gdp)",http___ins.tn_en_publication_29db784f33.txt,"Indicator: Agriculture, Value Added (% Of Gdp) | Year: 2023 | Value: 15.0 | Source: http",
Population,2023,0.6,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), second quarter 2023 15-08-2023 Press release Real GDP increased at an annual rate of 0.6 percent in the second quarter of 2023.",0.6 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2023 | Value: 0.6 % | Source: http,
Population,2023,2.1,%,100,"Read more National Institue of Statistics Arabic, French Monthly General Publications Foreign Trade, Nation account, Employment, Energy, Industry, Money and finance, Population, Price, Wages, Tourism, Transport
Gross Domestic Product (GDP), first quarter 2023 15-05-2023 Press release Real GDP increased at an annual rate of 2.1 percent in the first quarter of 2023.",2.1 %,http,Regex,Population,Demographics,Population,Population,http___ins.tn_en_publication_29db784f33.txt,Indicator: Population | Year: 2023 | Value: 2.1 % | Source: http,
